***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________

----------------------------------------------
Geracao e custos marginais por unidade termica                                  
----------------------------------------------
------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIT:      Numero de cadastro da usina termoeletrica                                                                                                                                                    
UNIDT:     Numero de cadastro da unidade termoeletrica                                                                                                                                                  
Nome Usit: Nome da usina termoeletrica                                                                                                                                                                  
NomeSist:  Nome do subsistema                                                                                                                                                                           
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
GTER:      Geracao Termoeletrica                                                                                                                                                                        
CustLin:   Custo linear de geracao da unidade termica                                                                                                                                                   
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
------------------------------------------------------

-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;  GTER   ; CustLin ;   CMO    ;    CMB     ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;  (MW)   ; ($/MWh) ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
   1 ; 246 ; 005  ; KARKEY 019   ; SE     ; 45067  ;     0.00;  1050.22;     0.00 ;       0.01 ;
   1 ; 246 ; 006  ; KARKEY 019   ; SE     ; 45067  ;     0.00;  1050.22;     0.00 ;       0.01 ;
   1 ; 246 ; 007  ; KARKEY 019   ; SE     ; 45067  ;     0.00;  1050.22;     0.00 ;       0.01 ;
   1 ; 247 ; 001  ; LINHARES PCS ; SE     ;  9026  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 248 ; 001  ; PAULINIA     ; SE     ; 44865  ;    15.00;  1499.04;     0.00 ;       0.01 ;
   1 ; 249 ; 001  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 249 ; 002  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 249 ; 003  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 249 ; 004  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 249 ; 005  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 249 ; 006  ; PORSUD I     ; SE     ; 45069  ;     0.00;  1208.26;     0.00 ;       0.01 ;
   1 ; 250 ; 001  ; PORSUD II    ; SE     ; 45072  ;     0.00;  1203.97;     0.00 ;       0.01 ;
   1 ; 250 ; 002  ; PORSUD II    ; SE     ; 45072  ;     0.00;  1203.97;     0.00 ;       0.01 ;
   1 ; 250 ; 003  ; PORSUD II    ; SE     ; 45072  ;     0.00;  1203.97;     0.00 ;       0.01 ;
   1 ; 250 ; 004  ; PORSUD II    ; SE     ; 45072  ;     0.00;  1203.97;     0.00 ;       0.01 ;
   1 ; 250 ; 005  ; PORSUD II    ; SE     ; 45072  ;     0.00;  1203.97;     0.00 ;       0.01 ;
   1 ; 251 ; 001  ; POVOACAO 1   ; SE     ; 45985  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 251 ; 002  ; POVOACAO 1   ; SE     ; 45985  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 253 ; 001  ; VIANA 1      ; SE     ; 45981  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 253 ; 002  ; VIANA 1      ; SE     ; 45982  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 253 ; 003  ; VIANA 1      ; SE     ; 45983  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 253 ; 004  ; VIANA 1      ; SE     ; 45984  ;     0.00;  1544.47;     0.00 ;       0.01 ;
   1 ; 334 ; 001  ; W ARJONA     ; SE     ;   927  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 334 ; 002  ; W ARJONA     ; SE     ;   928  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 334 ; 003  ; W ARJONA     ; SE     ;   929  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 334 ; 004  ; W ARJONA     ; SE     ;   923  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 334 ; 005  ; W ARJONA     ; SE     ;   924  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 001  ; ATLANTICO    ; SE     ;  9600  ;    90.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 002  ; ATLANTICO    ; SE     ;  9615  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 003  ; ATLANTICO    ; SE     ;  9603  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 004  ; ATLANTICO    ; SE     ;  9600  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 005  ; ATLANTICO    ; SE     ;  9600  ;   140.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 006  ; ATLANTICO    ; SE     ;  9603  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 383 ; 007  ; ATLANTICO    ; SE     ;  9600  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 004 ; 003  ; ST.CRUZ 34   ; SE     ;    30  ;     0.00;   310.41;     0.00 ;       0.01 ;
   1 ; 004 ; 004  ; ST.CRUZ 34   ; SE     ;    30  ;     0.00;   310.41;     0.00 ;       0.01 ;
   1 ; 434 ; 001  ; W ARJONA 2   ; SE     ;   927  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 434 ; 002  ; W ARJONA 2   ; SE     ;   928  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 434 ; 003  ; W ARJONA 2   ; SE     ;   929  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 434 ; 004  ; W ARJONA 2   ; SE     ;   923  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 434 ; 005  ; W ARJONA 2   ; SE     ;   924  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 047 ; 001  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 002  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 003  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 004  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 005  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 006  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 007  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 008  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 009  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 010  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 011  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 012  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 013  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 014  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 015  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 016  ; TERMORIO     ; SE     ;  4203  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 017  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 018  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 019  ; TERMORIO     ; SE     ;  4207  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 020  ; TERMORIO     ; SE     ;  4208  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 021  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 022  ; TERMORIO     ; SE     ;  4207  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 023  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 024  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 025  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 026  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 027  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 028  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 029  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 030  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 047 ; 031  ; TERMORIO     ; SE     ;  4205  ;     0.00;   389.17;     0.00 ;       0.01 ;
   1 ; 049 ; 003  ; VIANA        ; SE     ; 45976  ;     0.00;  1098.60;     0.00 ;       0.01 ;
   1 ; 049 ; 004  ; VIANA        ; SE     ; 45976  ;     0.00;  1098.60;     0.00 ;       0.01 ;
   1 ; 049 ; 001  ; VIANA        ; SE     ; 45976  ;     0.00;  1098.60;     0.00 ;       0.01 ;
   1 ; 049 ; 002  ; VIANA        ; SE     ; 45976  ;     0.00;  1098.60;     0.00 ;       0.01 ;
   1 ; 050 ; 001  ; PIRAT.12 G   ; SE     ;   403  ;     0.00;   470.34;     0.00 ;       0.01 ;
   1 ; 050 ; 002  ; PIRAT.12 G   ; SE     ;   403  ;     0.00;   470.34;     0.00 ;       0.01 ;
   1 ; 054 ; 001  ; JUIZ DE FORA ; SE     ;  4180  ;     0.00;  1076.42;     0.00 ;       0.01 ;
   1 ; 054 ; 002  ; JUIZ DE FORA ; SE     ;  4100  ;     0.00;  1076.42;     0.00 ;       0.01 ;
   1 ; 060 ; 001  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 002  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 003  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 004  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 005  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 006  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 060 ; 007  ; NORTEFLU     ; SE     ;  3962  ;     0.00;     0.00;     0.00 ;       0.01 ;
   1 ; 062 ; 001  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 002  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 003  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 004  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 005  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 006  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 007  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 062 ; 008  ; SEROPEDICA   ; SE     ;  3974  ;     0.00;   515.37;     0.00 ;       0.01 ;
   1 ; 063 ; 001  ; IBIRITE      ; SE     ;  1585  ;     0.00;   750.42;     0.00 ;       0.01 ;
   1 ; 068 ; 001  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 002  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 003  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 004  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 005  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 006  ; TRES LAGOAS  ; SE     ;  3525  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 007  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 008  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 009  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 010  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 011  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 012  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 013  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 014  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 068 ; 015  ; TRES LAGOAS  ; SE     ;  3524  ;     0.00;   321.14;     0.00 ;       0.01 ;
   1 ; 086 ; 001  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   204.79;     0.00 ;       0.01 ;
   1 ; 086 ; 002  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   204.79;     0.00 ;       0.01 ;
   1 ; 086 ; 003  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   204.79;     0.00 ;       0.01 ;
   1 ; 086 ; 004  ; ST.CRUZ NOVA ; SE     ;    32  ;     0.00;   204.79;     0.00 ;       0.01 ;
   1 ; 090 ; 001  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 002  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 003  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 004  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 005  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 006  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 007  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 008  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 009  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 010  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
   1 ; 090 ; 011  ; TERMOMACAE   ; SE     ;  3977  ;     0.00;   909.03;     0.00 ;       0.01 ;
