***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ; 47 ;TERMORIO     ; 22 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 23 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 24 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 25 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 26 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 27 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 28 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 29 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 30 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 31 ; SE ;      0.00 ;      0.00 ;    634.00 ;     634.00 ;  L  ;    389.17 ;
  1 ;  LEVE ; 47 ;TERMORIO     ; 99 ; SE ;      0.00 ;      0.00 ;    790.00 ;   15813.00 ;  -  ;           ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  1 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;   2305.34 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  2 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;   2305.34 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ;  3 ; S  ;      0.00 ;      0.00 ;    484.15 ;     484.15 ;  L  ;   2305.34 ;
  1 ;  LEVE ; 48 ;ARAUCARIA    ; 99 ; S  ;      0.00 ;      0.00 ;      0.00 ;     954.15 ;  -  ;           ;
  1 ;  LEVE ; 49 ;VIANA        ;  3 ; SE ;      0.00 ;      0.00 ;     43.65 ;      43.65 ;  L  ;   1098.60 ;
  1 ;  LEVE ; 49 ;VIANA        ;  4 ; SE ;      0.00 ;      0.00 ;     87.30 ;      87.30 ;  L  ;   1098.60 ;
  1 ;  LEVE ; 49 ;VIANA        ;  1 ; SE ;      0.00 ;      0.00 ;    130.95 ;     130.95 ;  L  ;   1098.60 ;
  1 ;  LEVE ; 49 ;VIANA        ;  2 ; SE ;      0.00 ;      0.00 ;    174.60 ;     174.60 ;  L  ;   1098.60 ;
  1 ;  LEVE ; 49 ;VIANA        ; 99 ; SE ;      0.00 ;      0.00 ;    175.00 ;     436.50 ;  -  ;           ;
  1 ;  LEVE ; 50 ;PIRAT.12 G   ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     100.00 ;  D  ;    470.34 ;
  1 ;  LEVE ; 50 ;PIRAT.12 G   ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     100.00 ;  D  ;    470.34 ;
  1 ;  LEVE ; 50 ;PIRAT.12 G   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     200.00 ;  -  ;           ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  1 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  2 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  3 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ;  4 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
  1 ;  LEVE ; 52 ;CAMPINA GDE  ; 99 ; NE ;      0.00 ;      0.00 ;    169.00 ;     169.08 ;  -  ;           ;
