& CONDICOES INICIAIS DAS UNIDADES                
&                                                
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
CPLEXLOG
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
CROSSOVER 0 0 0 0
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
&Ajuste conforme valores programados e operacao em Tempo Real
 97  CUBATAO        1    1      115.000     84  0  0  4          0.
 97  CUBATAO        2    0        0.000  19180  0  0  0          0.
 97  CUBATAO        3    0        0.000  14820  0  0  0          0.
 98  PERNAMBU_III   1    0        0.000    239  0  0  0          0.
 98  PERNAMBU_III   2    0        0.000    239  0  0  0          0.
 98  PERNAMBU_III   3    0        0.000    239  0  0  0          0.
 98  PERNAMBU_III   4    0        0.000    239  0  0  0          0.
&Ajuste conforme SGI 67.639-23
106  ERB CANDEIAS   1    0        0.000     48  0  0  0          0.
107  PAMPA SUL      1    1      300.000   1524  1  0  2        300.
108  XAVANTES       1    0        0.000  19888  0  0  0          0.
108  XAVANTES       2    0        0.000  19888  0  0  0          0.
110  N.PIRATININ    1    0        0.000  18808  0  0  0          0.
110  N.PIRATININ    2    0        0.000  20496  1  0  0          0.
110  N.PIRATININ    3    0        0.000  20904  0  0  0          0.
110  N.PIRATININ    4    0        0.000  20941  0  0  0          0.
110  N.PIRATININ    5    0        0.000  19410  0  0  0          0.
110  N.PIRATININ    6    0        0.000  19056  1  0  0          0.
110  N.PIRATININ    7    0        0.000  19056  0  0  0          0.
110  N.PIRATININ    8    0        0.000  19584  0  0  0          0.
110  N.PIRATININ    9    0        0.000  19846  1  0  0          0.
110  N.PIRATININ   10    0        0.000  19678  1  0  0          0.
110  N.PIRATININ   11    0        0.000  19584  0  0  0          0.
110  N.PIRATININ   12    0        0.000  19224  0  0  0          0.
110  N.PIRATININ   13    0        0.000  19584  0  0  0          0.
110  N.PIRATININ   14    0        0.000  19584  0  0  0          0.
110  N.PIRATININ   15    0        0.000  19584  0  0  0          0.
112  CURUMIM        1    0        0.000    239  0  0  0          0.
112  CURUMIM        2    0        0.000  19080  0  0  0          0.
112  CURUMIM        3    0        0.000  19082  0  0  0          0.
116  PARNAIBA IV    1    0        0.000     96  1  0  0          0.
137  GNA            1    0        0.000  18984  0  0  0          0.
&Ajuste conforme valores programados, SGI 65.746-23 e dados de UCT
140  MAUA 3         1    0        0.000    816  0  0  0        275.
140  MAUA 3         2    0        0.000   2496  0  0  0        275.
140  MAUA 3         3    0        0.000    672  0  0  0        275.
140  MAUA 3         4    1      379.100    228  1  0  1        275.
140  MAUA 3         5    0        0.000   3256  0  0  0        275.
140  MAUA 3         6    0        0.000   3336  0  0  0        275.
140  MAUA 3         7    0        0.000    228  1  0  0        275.
140  MAUA 3         8    0        0.000   5184  0  0  0        275.
144  PETROLINA      1    0        0.000  20408  1  0  0          0.
144  PETROLINA      2    0        0.000   3606  0  0  0          0.
144  PETROLINA      3    0        0.000  19871  0  0  0          0.
144  PETROLINA      4    0        0.000  19887  0  0  0          0.
144  PETROLINA      5    0        0.000   3606  0  0  0          0.
144  PETROLINA      6    0        0.000  20641  1  0  0          0.
