***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / subsistema / hora

------;-------;------;-----------;-----------;
 IPER ;  Pat  ; SIST ;   Cmarg   ;PI_Demanda ;
------;-------;------;-----------;-----------;
   27 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   27 ;PESADA ; N    ;      0.00 ;      0.00 ;
   27 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   28 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   28 ;PESADA ; S    ;      0.00 ;      0.00 ;
   28 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   28 ;PESADA ; N    ;      0.00 ;      0.00 ;
   28 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   29 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   29 ;PESADA ; S    ;      0.00 ;      0.00 ;
   29 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   29 ;PESADA ; N    ;      0.00 ;      0.00 ;
   29 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   30 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   30 ;PESADA ; S    ;      0.00 ;      0.00 ;
   30 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   30 ;PESADA ; N    ;      0.00 ;      0.00 ;
   30 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   31 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   31 ;PESADA ; S    ;      0.00 ;      0.00 ;
   31 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   31 ;PESADA ; N    ;      0.00 ;      0.00 ;
   31 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   32 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   32 ;PESADA ; S    ;      0.00 ;      0.00 ;
   32 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   32 ;PESADA ; N    ;      0.00 ;      0.00 ;
   32 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   33 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   33 ;PESADA ; S    ;      0.00 ;      0.00 ;
   33 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   33 ;PESADA ; N    ;      0.00 ;      0.00 ;
   33 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   34 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   34 ;PESADA ; S    ;      0.00 ;      0.00 ;
   34 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   34 ;PESADA ; N    ;      0.00 ;      0.00 ;
   34 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   35 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   35 ;PESADA ; S    ;      0.00 ;      0.00 ;
   35 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   35 ;PESADA ; N    ;      0.00 ;      0.00 ;
   35 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   36 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   36 ;PESADA ; S    ;      0.00 ;      0.00 ;
   36 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   36 ;PESADA ; N    ;      0.00 ;      0.00 ;
   36 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   37 ;PESADA ; SE   ;      0.00 ;      0.00 ;
   37 ;PESADA ; S    ;      0.00 ;      0.00 ;
   37 ;PESADA ; NE   ;      0.00 ;      0.00 ;
   37 ;PESADA ; N    ;      0.00 ;      0.00 ;
   37 ;PESADA ; FC   ;      0.00 ;      0.00 ;
   38 ;PESADA ; SE   ;      0.01 ;      0.01 ;
   38 ;PESADA ; S    ;      0.01 ;      0.01 ;
   38 ;PESADA ; NE   ;      0.01 ;      0.01 ;
   38 ;PESADA ; N    ;      0.01 ;      0.01 ;
   38 ;PESADA ; FC   ;      0.00 ;      0.01 ;
   39 ;PESADA ; SE   ;      0.09 ;      0.09 ;
   39 ;PESADA ; S    ;      0.08 ;      0.08 ;
   39 ;PESADA ; NE   ;      0.07 ;      0.08 ;
   39 ;PESADA ; N    ;      0.09 ;      0.09 ;
   39 ;PESADA ; FC   ;      0.00 ;      0.09 ;
   40 ;PESADA ; SE   ;      0.07 ;      0.07 ;
   40 ;PESADA ; S    ;      0.07 ;      0.07 ;
   40 ;PESADA ; NE   ;      0.06 ;      0.07 ;
   40 ;PESADA ; N    ;      0.08 ;      0.07 ;
   40 ;PESADA ; FC   ;      0.00 ;      0.07 ;
   41 ;PESADA ; SE   ;      0.01 ;      0.01 ;
   41 ;PESADA ; S    ;      0.01 ;      0.01 ;
   41 ;PESADA ; NE   ;      0.01 ;      0.01 ;
   41 ;PESADA ; N    ;      0.02 ;      0.01 ;
   41 ;PESADA ; FC   ;      0.00 ;      0.01 ;
   42 ;PESADA ; SE   ;      0.01 ;      0.01 ;
   42 ;PESADA ; S    ;      0.01 ;      0.01 ;
   42 ;PESADA ; NE   ;      0.01 ;      0.01 ;
   42 ;PESADA ; N    ;      0.02 ;      0.01 ;
   42 ;PESADA ; FC   ;      0.00 ;      0.01 ;
   43 ;PESADA ; SE   ;      0.01 ;      0.01 ;
   43 ;PESADA ; S    ;      0.01 ;      0.01 ;
   43 ;PESADA ; NE   ;      0.01 ;      0.01 ;
   43 ;PESADA ; N    ;      0.01 ;      0.01 ;
   43 ;PESADA ; FC   ;      0.00 ;      0.01 ;
   44 ;PESADA ; SE   ;      0.01 ;      0.01 ;
   44 ;PESADA ; S    ;      0.01 ;      0.01 ;
   44 ;PESADA ; NE   ;      0.01 ;      0.01 ;
   44 ;PESADA ; N    ;      0.01 ;      0.01 ;
   44 ;PESADA ; FC   ;      0.00 ;      0.01 ;
   45 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   45 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   45 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   45 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   45 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   46 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   46 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   46 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   46 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   46 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
   47 ; MEDIA ; SE   ;      0.00 ;      0.00 ;
   47 ; MEDIA ; S    ;      0.00 ;      0.00 ;
   47 ; MEDIA ; NE   ;      0.00 ;      0.00 ;
   47 ; MEDIA ; N    ;      0.00 ;      0.00 ;
   47 ; MEDIA ; FC   ;      0.00 ;      0.00 ;
