***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE não corresponde a recebimento do SE pois Itaipu(60hz) já se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
  33  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  34  ; PESADA ; SE   ;       0.00 ;   51778.84 ;     -      ;       0.00 ;       0.00 ;    8065.20 ;   44343.79 ;    1635.00 ;       4.01 ;    6853.43 ;    6211.03 ;       0.00 ;    -107.46 ;     107.46 ;    1635.00 ;    9510.76 ;  129827.31 ;
  34  ; PESADA ; S    ;       0.00 ;   15932.77 ;     -      ;       0.00 ;       0.00 ;    4351.34 ;   10936.02 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     425.59 ;    -425.59 ;    1071.00 ;    1486.57 ;   18921.40 ;
  34  ; PESADA ; NE   ;       0.00 ;   14765.37 ;     -      ;       0.00 ;       0.00 ;   10726.08 ;    8120.35 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4081.06 ;   -4081.06 ;       0.00 ;    6442.04 ;   27077.60 ;
  34  ; PESADA ; N    ;       0.00 ;    8000.55 ;     -      ;       0.00 ;       0.00 ;     753.62 ;    2355.83 ;    1134.30 ;       0.00 ;       0.00 ;     642.40 ;       0.00 ;   -4399.19 ;    4399.19 ;    1133.23 ;    3297.00 ;    6044.86 ;
  34  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  35  ; PESADA ; SE   ;       0.00 ;   50275.82 ;     -      ;       0.00 ;       0.00 ;    6634.45 ;   44142.11 ;    1635.00 ;       4.20 ;    6788.46 ;    5958.73 ;       0.00 ;     -49.73 ;      49.73 ;    1635.00 ;    9510.76 ;  129776.97 ;
  35  ; PESADA ; S    ;       0.00 ;   15505.84 ;     -      ;       0.00 ;       0.00 ;    3963.90 ;   10980.78 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     509.85 ;    -509.85 ;    1071.00 ;    1486.57 ;   18884.34 ;
  35  ; PESADA ; NE   ;       0.00 ;   14095.61 ;     -      ;       0.00 ;       0.00 ;    9792.14 ;    8298.48 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3995.02 ;   -3995.02 ;       0.00 ;    6462.04 ;   27056.30 ;
  35  ; PESADA ; N    ;       0.00 ;    7742.86 ;     -      ;       0.00 ;       0.00 ;     644.80 ;    2338.36 ;    1134.29 ;       0.00 ;       0.00 ;     829.72 ;       0.00 ;   -4455.13 ;    4455.13 ;    1133.23 ;    3297.00 ;    6036.85 ;
  35  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  36  ; PESADA ; SE   ;       0.00 ;   49844.20 ;     -      ;       0.00 ;       0.00 ;    5324.47 ;   44901.29 ;    1635.00 ;       3.15 ;    7161.20 ;    6202.89 ;       0.00 ;     -39.27 ;      39.27 ;    1635.00 ;    9510.76 ;  129726.07 ;
  36  ; PESADA ; S    ;       0.00 ;   15111.89 ;     -      ;       0.00 ;       0.00 ;    3602.43 ;   11149.21 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     710.75 ;    -710.75 ;    1071.00 ;    1486.57 ;   18846.72 ;
  36  ; PESADA ; NE   ;       0.00 ;   14247.42 ;     -      ;       0.00 ;       0.00 ;    9625.75 ;    8399.43 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3777.76 ;   -3777.76 ;       0.00 ;    6462.04 ;   27034.66 ;
  36  ; PESADA ; N    ;       0.00 ;    7565.01 ;     -      ;       0.00 ;       0.00 ;     569.65 ;    2370.12 ;    1134.32 ;       0.00 ;       0.00 ;     958.31 ;       0.00 ;   -4449.23 ;    4449.23 ;    1133.23 ;    3297.00 ;    6028.86 ;
  36  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  37  ; PESADA ; SE   ;       0.00 ;   49800.86 ;     -      ;       0.00 ;       0.00 ;    4622.76 ;   45258.07 ;    1635.00 ;       2.27 ;    6988.21 ;    6310.83 ;       0.00 ;    -620.91 ;     620.91 ;    1635.00 ;    9510.76 ;  129676.06 ;
  37  ; PESADA ; S    ;       0.00 ;   14838.54 ;     -      ;       0.00 ;       0.00 ;    3220.13 ;   11305.47 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     758.06 ;    -758.06 ;    1071.00 ;    1486.57 ;   18808.32 ;
  37  ; PESADA ; NE   ;       0.00 ;   14322.25 ;     -      ;       0.00 ;       0.00 ;    9998.96 ;    8259.28 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3935.99 ;   -3935.99 ;       0.00 ;    6470.04 ;   27012.67 ;
  37  ; PESADA ; N    ;       0.00 ;    7435.79 ;     -      ;       0.00 ;       0.00 ;     510.24 ;    2395.41 ;    1134.38 ;       0.00 ;       0.00 ;     677.38 ;       0.00 ;   -4073.14 ;    4073.14 ;    1133.23 ;    3297.00 ;    6020.89 ;
  37  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  38  ; PESADA ; SE   ;       0.01 ;   51679.71 ;     -      ;       0.00 ;       0.00 ;    4490.47 ;   45874.57 ;    1635.00 ;       0.89 ;    6941.19 ;    6343.92 ;       0.00 ;   -2094.30 ;    2094.30 ;    1635.00 ;    9510.76 ;  129622.65 ;
  38  ; PESADA ; S    ;       0.01 ;   15070.30 ;     -      ;       0.00 ;       0.00 ;    2987.45 ;   11947.98 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     936.12 ;    -936.12 ;    1071.00 ;    1486.57 ;   18769.30 ;
  38  ; PESADA ; NE   ;       0.01 ;   14397.48 ;     -      ;       0.00 ;       0.00 ;   10744.57 ;    8127.94 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4475.03 ;   -4475.03 ;       0.00 ;    6470.04 ;   26990.33 ;
  38  ; PESADA ; N    ;       0.01 ;    7532.96 ;     -      ;       0.00 ;       0.00 ;     506.88 ;    3171.82 ;    1134.68 ;       0.00 ;       0.00 ;     597.27 ;       0.00 ;   -3316.85 ;    3316.85 ;    1133.23 ;    3297.00 ;    6011.00 ;
  38  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  39  ; PESADA ; SE   ;       0.09 ;   52015.55 ;     -      ;       0.00 ;       0.00 ;    4465.31 ;   45440.64 ;    1635.00 ;       0.32 ;    6785.79 ;    6345.49 ;       0.00 ;   -3045.62 ;    3045.62 ;    1635.00 ;    9510.76 ;  129570.38 ;
  39  ; PESADA ; S    ;       0.08 ;   15619.75 ;     -      ;       0.00 ;       0.00 ;    2861.71 ;   12546.03 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     858.99 ;    -858.99 ;    1071.00 ;    1486.57 ;   18729.16 ;
  39  ; PESADA ; NE   ;       0.07 ;   14368.78 ;     -      ;       0.00 ;       0.00 ;   11316.43 ;    8041.85 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4989.51 ;   -4989.51 ;       0.00 ;    6490.04 ;   26967.64 ;
  39  ; PESADA ; N    ;       0.09 ;    7648.15 ;     -      ;       0.00 ;       0.00 ;     515.74 ;    3634.91 ;    1134.92 ;       0.00 ;       0.00 ;     440.29 ;       0.00 ;   -2802.88 ;    2802.88 ;    1133.23 ;    3297.00 ;    6000.83 ;
  39  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  40  ; PESADA ; SE   ;       0.07 ;   51955.31 ;     -      ;       0.00 ;       0.00 ;    4472.82 ;   45802.86 ;    1635.00 ;       0.31 ;    6765.02 ;    6342.91 ;       0.00 ;   -2633.82 ;    2633.82 ;    1635.00 ;    9510.76 ;  129518.14 ;
  40  ; PESADA ; S    ;       0.07 ;   15790.15 ;     -      ;       0.00 ;       0.00 ;    2864.47 ;   12184.73 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     330.05 ;    -330.05 ;    1071.00 ;    1486.57 ;   18688.81 ;
  40  ; PESADA ; NE   ;       0.06 ;   14341.58 ;     -      ;       0.00 ;       0.00 ;   11579.99 ;    8145.26 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5383.67 ;   -5383.67 ;       0.00 ;    6490.04 ;   26944.63 ;
  40  ; PESADA ; N    ;       0.08 ;    7738.13 ;     -      ;       0.00 ;       0.00 ;     531.72 ;    3413.71 ;    1134.91 ;       0.00 ;       0.00 ;     422.11 ;       0.00 ;   -3079.90 ;    3079.90 ;    1133.23 ;    3297.00 ;    5989.82 ;
  40  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  41  ; PESADA ; SE   ;       0.01 ;   52165.23 ;     -      ;       0.00 ;       0.00 ;    4461.92 ;   45914.01 ;    1635.00 ;       0.66 ;    6787.29 ;    6338.14 ;       0.00 ;   -2716.80 ;    2716.80 ;    1635.00 ;    9510.76 ;  129465.17 ;
  41  ; PESADA ; S    ;       0.01 ;   15588.11 ;     -      ;       0.00 ;       0.00 ;    2857.55 ;   11872.94 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     213.39 ;    -213.39 ;    1071.00 ;    1486.57 ;   18647.84 ;
  41  ; PESADA ; NE   ;       0.01 ;   14262.51 ;     -      ;       0.00 ;       0.00 ;   11601.42 ;    8387.84 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5726.75 ;   -5726.75 ;       0.00 ;    6490.04 ;   26921.31 ;
  41  ; PESADA ; N    ;       0.02 ;    7798.00 ;     -      ;       0.00 ;       0.00 ;     547.05 ;    3342.05 ;    1134.72 ;       0.00 ;       0.00 ;     449.15 ;       0.00 ;   -3223.33 ;    3223.33 ;    1133.23 ;    3297.00 ;    5979.35 ;
  41  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  42  ; PESADA ; SE   ;       0.01 ;   52379.44 ;     -      ;       0.00 ;       0.00 ;    4461.22 ;   45968.04 ;    1635.00 ;       0.72 ;    6757.71 ;    6336.63 ;       0.00 ;   -2905.82 ;    2905.82 ;    1635.00 ;    9510.76 ;  129411.23 ;
  42  ; PESADA ; S    ;       0.01 ;   15362.09 ;     -      ;       0.00 ;       0.00 ;    2856.17 ;   11755.43 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     320.52 ;    -320.52 ;    1071.00 ;    1486.57 ;   18605.64 ;
  42  ; PESADA ; NE   ;       0.01 ;   14355.69 ;     -      ;       0.00 ;       0.00 ;   11621.66 ;    8607.74 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5873.71 ;   -5873.71 ;       0.00 ;    6490.04 ;   26897.68 ;
  42  ; PESADA ; N    ;       0.02 ;    7894.13 ;     -      ;       0.00 ;       0.00 ;     556.05 ;    3336.04 ;    1134.71 ;       0.00 ;       0.00 ;     421.08 ;       0.00 ;   -3288.40 ;    3288.40 ;    1133.23 ;    3297.00 ;    5968.84 ;
  42  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  43  ; PESADA ; SE   ;       0.01 ;   52070.23 ;     -      ;       0.00 ;       0.00 ;    4459.75 ;   46211.11 ;    1635.00 ;       0.82 ;    6747.59 ;    6334.58 ;       0.00 ;   -2363.18 ;    2363.18 ;    1635.00 ;    9510.76 ;  129352.78 ;
  43  ; PESADA ; S    ;       0.01 ;   15190.60 ;     -      ;       0.00 ;       0.00 ;    2841.92 ;   11419.29 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     141.61 ;    -141.61 ;    1071.00 ;    1486.57 ;   18562.74 ;
  43  ; PESADA ; NE   ;       0.01 ;   14688.46 ;     -      ;       0.00 ;       0.00 ;   11651.22 ;    8718.21 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5680.96 ;   -5680.96 ;       0.00 ;    6490.04 ;   26873.92 ;
  43  ; PESADA ; N    ;       0.01 ;    7958.17 ;     -      ;       0.00 ;       0.00 ;     553.95 ;    3223.15 ;    1134.69 ;       0.00 ;       0.00 ;     413.01 ;       0.00 ;   -3459.40 ;    3459.40 ;    1133.23 ;    3297.00 ;    5958.70 ;
  43  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  44  ; PESADA ; SE   ;       0.01 ;   51266.12 ;     -      ;       0.00 ;       0.00 ;    4458.21 ;   45884.12 ;    1635.00 ;       0.92 ;    6736.91 ;    6331.39 ;       0.00 ;   -1895.20 ;    1895.20 ;    1635.00 ;    9510.76 ;  129290.35 ;
  44  ; PESADA ; S    ;       0.01 ;   14954.83 ;     -      ;       0.00 ;       0.00 ;    2823.70 ;   11091.97 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      31.83 ;     -31.83 ;    1071.00 ;    1486.57 ;   18519.70 ;
  44  ; PESADA ; NE   ;       0.01 ;   15007.55 ;     -      ;       0.00 ;       0.00 ;   11650.03 ;    8803.36 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5445.85 ;   -5445.85 ;       0.00 ;    6490.04 ;   26850.19 ;
  44  ; PESADA ; N    ;       0.01 ;    8069.14 ;     -      ;       0.00 ;       0.00 ;     541.99 ;    3215.51 ;    1134.69 ;       0.00 ;       0.00 ;     405.52 ;       0.00 ;   -3582.48 ;    3582.48 ;    1133.23 ;    3297.00 ;    5948.33 ;
  44  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  45  ;  MEDIA ; SE   ;       0.00 ;   49981.49 ;     -      ;       0.00 ;       0.00 ;    4434.01 ;   45775.62 ;    1635.00 ;       1.64 ;    6739.80 ;    6333.80 ;       0.00 ;    -595.50 ;     595.50 ;    1635.00 ;    9510.76 ;  129228.00 ;
  45  ;  MEDIA ; S    ;       0.00 ;   14548.22 ;     -      ;       0.00 ;       0.00 ;    2771.55 ;   10822.60 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     116.94 ;    -116.94 ;    1071.00 ;    1486.57 ;   18475.54 ;
  45  ;  MEDIA ; NE   ;       0.00 ;   15078.41 ;     -      ;       0.00 ;       0.00 ;   10923.15 ;    8774.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4618.74 ;   -4618.74 ;       0.00 ;    6490.04 ;   26826.49 ;
  45  ;  MEDIA ; N    ;       0.00 ;    8135.75 ;     -      ;       0.00 ;       0.00 ;     532.25 ;    2734.77 ;    1134.54 ;       0.00 ;       0.00 ;     406.00 ;       0.00 ;   -4140.18 ;    4140.18 ;    1133.23 ;    3297.00 ;    5939.53 ;
  45  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  46  ;  MEDIA ; SE   ;       0.00 ;   48950.07 ;     -      ;       0.00 ;       0.00 ;    4389.98 ;   44633.45 ;    1635.00 ;       3.26 ;    6731.23 ;    6320.49 ;       0.00 ;    -747.17 ;     747.17 ;    1635.00 ;    9510.76 ;  129165.88 ;
  46  ;  MEDIA ; S    ;       0.00 ;   14034.12 ;     -      ;       0.00 ;       0.00 ;    2699.63 ;   10881.74 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     618.25 ;    -618.25 ;    1071.00 ;    1486.57 ;   18428.41 ;
  46  ;  MEDIA ; NE   ;       0.00 ;   15005.17 ;     -      ;       0.00 ;       0.00 ;   10679.91 ;    8706.51 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4381.26 ;   -4381.26 ;       0.00 ;    6490.04 ;   26802.83 ;
  46  ;  MEDIA ; N    ;       0.00 ;    8158.71 ;     -      ;       0.00 ;       0.00 ;     525.58 ;    2657.09 ;    1134.42 ;       0.00 ;       0.00 ;     410.73 ;       0.00 ;   -4252.35 ;    4252.35 ;    1133.23 ;    3297.00 ;    5930.80 ;
  46  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  47  ;  MEDIA ; SE   ;       0.00 ;   47154.46 ;     -      ;       0.00 ;       0.00 ;    4313.04 ;   43252.32 ;    1635.00 ;      12.20 ;    6670.79 ;    6254.32 ;       0.00 ;    -412.81 ;     412.82 ;    1635.00 ;    9510.76 ;  129105.63 ;
  47  ;  MEDIA ; S    ;       0.00 ;   13463.35 ;     -      ;       0.00 ;       0.00 ;    2563.14 ;   10601.56 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     772.35 ;    -772.35 ;    1071.00 ;    1486.57 ;   18380.16 ;
  47  ;  MEDIA ; NE   ;       0.00 ;   14876.31 ;     -      ;       0.00 ;       0.00 ;   10314.94 ;    8550.08 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3988.71 ;   -3988.71 ;       0.00 ;    6490.04 ;   26779.26 ;
  47  ;  MEDIA ; N    ;       0.00 ;    8140.73 ;     -      ;       0.00 ;       0.00 ;     524.36 ;    2550.24 ;    1134.36 ;       0.00 ;       0.00 ;     416.47 ;       0.00 ;   -4348.24 ;    4348.24 ;    1133.23 ;    3297.00 ;    5922.18 ;
  47  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  48  ;  MEDIA ; SE   ;       0.00 ;   45698.12 ;     -      ;       0.00 ;       0.00 ;    4238.36 ;   41983.67 ;    1635.00 ;      35.98 ;    6450.87 ;    6025.11 ;       0.00 ;    -314.30 ;     314.30 ;    1635.00 ;    9510.76 ;  129045.98 ;
  48  ;  MEDIA ; S    ;       0.00 ;   12883.64 ;     -      ;       0.00 ;       0.00 ;    2394.05 ;   10349.95 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     931.36 ;    -931.36 ;    1071.00 ;    1486.57 ;   18330.98 ;
  48  ;  MEDIA ; NE   ;       0.00 ;   14487.25 ;     -      ;       0.00 ;       0.00 ;    9859.45 ;    8394.42 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3766.62 ;   -3766.62 ;       0.00 ;    6490.04 ;   26755.82 ;
  48  ;  MEDIA ; N    ;       0.00 ;    8089.38 ;     -      ;       0.00 ;       0.00 ;     527.13 ;    2470.00 ;    1134.34 ;       0.00 ;       0.00 ;     425.76 ;       0.00 ;   -4383.68 ;    4383.68 ;    1133.23 ;    3297.00 ;    5913.38 ;
  48  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  49  ;   LEVE ; SE   ;       0.00 ;   40781.00 ;     -      ;       0.00 ;       0.00 ;    5443.32 ;   35706.72 ;    1635.00 ;      90.45 ;    1302.83 ;     893.00 ;       0.00 ;     -97.08 ;      97.08 ;    1635.00 ;    9510.76 ;  128444.39 ;
  49  ;   LEVE ; S    ;       0.00 ;   11801.00 ;     -      ;       0.00 ;       0.00 ;    2343.79 ;    8388.00 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       1.78 ;      -1.78 ;    1071.00 ;    1486.57 ;   17498.23 ;
  49  ;   LEVE ; NE   ;       0.00 ;   12925.00 ;     -      ;       0.00 ;       0.00 ;   10631.29 ;    6145.66 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3851.95 ;   -3851.95 ;       0.00 ;    6490.04 ;   26393.25 ;
  49  ;   LEVE ; N    ;       0.00 ;    7068.00 ;     -      ;       0.00 ;       0.00 ;     548.24 ;    2038.16 ;    1134.77 ;       0.00 ;       0.00 ;     409.83 ;       0.00 ;   -3756.66 ;    3756.66 ;    1133.23 ;    3297.00 ;    5805.90 ;
  49  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  50  ;  MEDIA ; SE   ;       0.00 ;   50442.00 ;     -      ;       0.00 ;       0.00 ;   14686.29 ;   36428.40 ;    1635.00 ;      96.26 ;    1309.03 ;     893.00 ;       0.00 ;    -235.54 ;     235.54 ;    1635.00 ;    9510.76 ;  128018.94 ;
  50  ;  MEDIA ; S    ;       0.00 ;   15818.00 ;     -      ;       0.00 ;       0.00 ;    5155.95 ;    9586.82 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;      -4.23 ;       4.23 ;    1071.00 ;    1486.57 ;   16918.32 ;
  50  ;  MEDIA ; NE   ;       0.00 ;   14750.00 ;     -      ;       0.00 ;       0.00 ;   12898.36 ;    5551.68 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    3700.04 ;   -3700.04 ;       0.00 ;    6490.04 ;   26190.17 ;
  50  ;  MEDIA ; N    ;       0.00 ;    7360.00 ;     -      ;       0.00 ;       0.00 ;    1257.76 ;    1923.62 ;    1134.38 ;       0.00 ;       0.00 ;     416.03 ;       0.00 ;   -3460.27 ;    3460.27 ;    1133.23 ;    3297.00 ;    5743.70 ;
  50  ;  MEDIA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  51  ; PESADA ; SE   ;       0.00 ;   51476.00 ;     -      ;       0.00 ;       0.00 ;    7807.08 ;   44142.06 ;    1635.00 ;      88.21 ;    1302.13 ;     893.00 ;       0.00 ;    -581.93 ;     581.93 ;    1635.00 ;    9510.76 ;  127095.33 ;
  51  ; PESADA ; S    ;       0.00 ;   15490.00 ;     -      ;       0.00 ;       0.00 ;    3609.07 ;   10818.55 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       8.62 ;      -8.62 ;    1071.00 ;    1486.57 ;   15809.03 ;
  51  ; PESADA ; NE   ;       0.00 ;   15209.00 ;     -      ;       0.00 ;       0.00 ;   11811.79 ;    7454.72 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4057.50 ;   -4057.50 ;       0.00 ;    6490.04 ;   25985.05 ;
  51  ; PESADA ; N    ;       0.00 ;    7621.00 ;     -      ;       0.00 ;       0.00 ;     717.75 ;    2693.43 ;    1134.76 ;       0.00 ;       0.00 ;     409.13 ;       0.00 ;   -3484.19 ;    3484.19 ;    1133.23 ;    3297.00 ;    5582.97 ;
  51  ; PESADA ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  52  ;  MEDIA ; SE   ;       0.00 ;   47640.00 ;     -      ;       0.00 ;       0.00 ;    4470.56 ;   45011.16 ;    1635.00 ;      33.68 ;    1317.65 ;     893.00 ;       0.00 ;    1004.69 ;   -1004.69 ;    1635.00 ;    9510.76 ;  126899.19 ;
  52  ;  MEDIA ; S    ;       0.00 ;   13871.00 ;     -      ;       0.00 ;       0.00 ;    2733.84 ;   10416.39 ;    1071.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;     350.23 ;    -350.23 ;    1071.00 ;    1486.57 ;   15560.84 ;
