NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 89 GARIBALDI      1    30      F                 207
 89 GARIBALDI      1    01      F                 190
144 MASCARENHAS    1    29      F                  62
144 MASCARENHAS    1    30      F                  60
144 MASCARENHAS    1    01      F                  61
 66 ITAIPU         1    29      F                4541
 66 ITAIPU         1    30      F                4658
 66 ITAIPU         1    01      F                5065
110 ERNESTINA      1    29      F                 116
110 ERNESTINA      1    30      F                  82
110 ERNESTINA      1    01      F                  68
111 PASSO REAL     1    29      F                 648
111 PASSO REAL     1    30      F                 550
111 PASSO REAL     1    01      F                 479
112 JACUI          1    29      F                   2
112 JACUI          1    01      F                   1
113 ITAUBA         1    29      F                  50
113 ITAUBA         1    30      F                  38
113 ITAUBA         1    01      F                  32
114 D. FRANCISCA   1    29      F                  55
114 D. FRANCISCA   1    30      F                  42
114 D. FRANCISCA   1    01      F                  35
 74 G.B. MUNHOZ    1    29      F                1546
 74 G.B. MUNHOZ    1    30      F                1586
 74 G.B. MUNHOZ    1    01      F                1501
 76 SEGREDO        1    29      F                 356
 76 SEGREDO        1    30      F                 289
 76 SEGREDO        1    01      F                 240
 82 SALTO CAXIAS   1    29      F                 723
 82 SALTO CAXIAS   1    30      F                 704
 82 SALTO CAXIAS   1    01      F                 616
 83 BAIXO IGUACU   1    29      F                 289
 83 BAIXO IGUACU   1    30      F                 282
 83 BAIXO IGUACU   1    01      F                 246
115 G.P. SOUZA     1    29      F                  47
115 G.P. SOUZA     1    30      F                  39
115 G.P. SOUZA     1    01      F                  32
 73 JORDAO         1    29      F                  69
 73 JORDAO         1    30      F                  57
 73 JORDAO         1    01      F                  47
 71 STA CLARA PR   1    29      F                 309
 71 STA CLARA PR   1    30      F                 322
 71 STA CLARA PR   1    01      F                 284
 72 FUNDAO         1    29      F                  17
 72 FUNDAO         1    30      F                  14
 72 FUNDAO         1    01      F                  12
 57 MAUA           1    29      F                 686
 57 MAUA           1    30      F                 704
 57 MAUA           1    01      F                 669
 77 SLT.SANTIAGO   1    29      F                 291
 77 SLT.SANTIAGO   1    30      F                 283
 77 SLT.SANTIAGO   1    01      F                 248
 78 SALTO OSORIO   1    29      F                 115
 78 SALTO OSORIO   1    30      F                 112
 78 SALTO OSORIO   1    01      F                  98
 93 PASSO FUNDO    1    29      F                 180
 93 PASSO FUNDO    1    30      F                 153
 93 PASSO FUNDO    1    01      F                 132
 91 MACHADINHO     1    29      F                 366
 91 MACHADINHO     1    30      F                 609
 91 MACHADINHO     1    01      F                 480
 92 ITA            1    29      F                 709
 92 ITA            1    30      F                 795
 92 ITA            1    01      F                 705
252 CANA BRAVA     1    29      F                  26
252 CANA BRAVA     1    30      F                  23
252 CANA BRAVA     1    01      F                  22
253 SAO SALVADOR   1    29      F                  25
253 SAO SALVADOR   1    30      F                  23
253 SAO SALVADOR   1    01      F                  21
267 ESTREITO TOC   1    29      F                 686
267 ESTREITO TOC   1    30      F                 642
267 ESTREITO TOC   1    01      F                 626
281 PONTE PEDRA    1    29      F                  85
281 PONTE PEDRA    1    30      F                  81
281 PONTE PEDRA    1    01      F                  78
  9 JAGUARA        1    29      F                   8
  9 JAGUARA        1    30      F                   9
  9 JAGUARA        1    01      F                  10
 26 MIRANDA        1    29      F                   7
 26 MIRANDA        1    01      F                   8
 86 BARRA GRANDE   1    29      F                1041
 86 BARRA GRANDE   1    30      F                 860
 86 BARRA GRANDE   1    01      F                 620
 90 CAMPOS NOVOS   1    29      F                 105
 90 CAMPOS NOVOS   1    30      F                 113
 90 CAMPOS NOVOS   1    01      F                 104
 97 CASTRO ALVES   1    29      F                 758
 97 CASTRO ALVES   1    30      F                 589
 97 CASTRO ALVES   1    01      F                 371
 98 MONTE CLARO    1    29      F                 268
 98 MONTE CLARO    1    30      F                 235
 98 MONTE CLARO    1    01      F                 180
 99 14 DE JULHO    1    29      F                  34
 99 14 DE JULHO    1    30      F                  30
 99 14 DE JULHO    1    01      F                  23
103 FOZ CHAPECO    1    29      F                 513
103 FOZ CHAPECO    1    30      F                 451
103 FOZ CHAPECO    1    01      F                 376
169 SOBRADINHO     3    29      F                 916
169 SOBRADINHO     3    30      F                 905
169 SOBRADINHO     3    01      F                 896
172 ITAPARICA      1    29      F                   0
173 MOXOTO         1    29      F                   0
174 P.AFONSO 123   1    29      F                   0
175 P.AFONSO 4     1    29      F                   0
178 XINGO          1    29      F                   0
190 B. ESPERANCA   1    29      F                 231
190 B. ESPERANCA   1    30      F                 224
190 B. ESPERANCA   1    01      F                 218
189 P. CAVALO      1    29      F                   2
275 TUCURUI        1    29      F                 894
275 TUCURUI        1    30      F                 959
275 TUCURUI        1    01      F                1104
272 CURUA-UNA      1    29      F                 122
272 CURUA-UNA      1    30      F                 121
272 CURUA-UNA      1    01      F                 119
279 SAMUEL         1    29      F                  84
279 SAMUEL         1    30      F                  94
279 SAMUEL         1    01      F                 104
280 COARACY NUNE   1    29      F                   0
204 CACH.CALDEIR   1    29      F                  90
204 CACH.CALDEIR   1    30      F                  99
204 CACH.CALDEIR   1    01      F                 105
127 SOBRAGI        1    29      F                  23
127 SOBRAGI        1    30      F                  25
126 PICADA         1    29      F                  31
126 PICADA         1    30      F                  38
126 PICADA         1    01      F                  37
283 STA CLARA MG   1    29      F                   8
261 LAJEADO        1    29      F                 210
261 LAJEADO        1    30      F                 189
261 LAJEADO        1    01      F                 175
 48 PIRAJU         1    29      F                   6
 48 PIRAJU         1    30      F                   8
 48 PIRAJU         1    01      F                   9
249 OURINHOS       1    29      F                   4
249 OURINHOS       1    30      F                   5
249 OURINHOS       1    01      F                   4
241 SLT VERDINHO   1    29      F                  14
241 SLT VERDINHO   1    30      F                  15
241 SLT VERDINHO   1    01      F                  16
304 ITIQUIRA I     1    29      F                  64
304 ITIQUIRA I     1    30      F                  62
304 ITIQUIRA I     1    01      F                  61
305 ITIQUIRA II    1    29      F                   0
196 GUAPORE        1    29      F                  34
196 GUAPORE        1    30      F                  33
196 GUAPORE        1    01      F                  34
195 JAURU          1    29      F                  71
195 JAURU          1    30      F                  68
195 JAURU          1    01      F                  66
 95 QUEBRA QUEIX   1    29      F                 251
 95 QUEBRA QUEIX   1    30      F                 260
 95 QUEBRA QUEIX   1    01      F                 219
203 CORUMBA III    1    29      F                   8
203 CORUMBA III    1    30      F                   7
154 ITAPEBI        1    29      F                   2
310 DARDANELOS     1    29      F                  53
310 DARDANELOS     1    30      F                  60
310 DARDANELOS     1    01      F                  69
 29 CORUMBA IV     1    29      F                  82
 29 CORUMBA IV     1    30      F                  76
 29 CORUMBA IV     1    01      F                  67
 94 MONJOLINHO     1    29      F                 128
 94 MONJOLINHO     1    30      F                 108
 94 MONJOLINHO     1    01      F                  93
215 SALTO PILAO    1    29      F                 554
215 SALTO PILAO    1    30      F                 502
215 SALTO PILAO    1    01      F                 417
155 RETIRO BAIXO   1    29      F                  60
155 RETIRO BAIXO   1    30      F                  65
155 RETIRO BAIXO   1    01      F                  80
311 CACU           1    29      F                 214
311 CACU           1    30      F                 203
311 CACU           1    01      F                 190
312 B. COQUEIROS   1    29      F                   9
312 B. COQUEIROS   1    30      F                   8
315 FOZ R. CLARO   1    29      F                  17
315 FOZ R. CLARO   1    30      F                  16
315 FOZ R. CLARO   1    01      F                  15
 21 SERRA FACAO    1    29      F                   8
 21 SERRA FACAO    1    30      F                   7
290 ESPORA         1    29      F                  61
290 ESPORA         1    30      F                  65
290 ESPORA         1    01      F                  67
101 SAO JOSE       1    29      F                 888
101 SAO JOSE       1    30      F                 859
101 SAO JOSE       1    01      F                 838
276 RONDON II      1    29      F                  90
276 RONDON II      1    30      F                  81
276 RONDON II      1    01      F                  75
102 PASSO S JOAO   1    29      F                  34
102 PASSO S JOAO   1    30      F                  33
102 PASSO S JOAO   1    01      F                  32
277 BALBINA        1    29      F                 560
277 BALBINA        1    30      F                 648
277 BALBINA        1    01      F                 690
285 JIRAU          1    29      F                7965
285 JIRAU          1    30      F                9429
285 JIRAU          1    01      F               10743
286 STO ANT JARI   1    29      F                 149
286 STO ANT JARI   1    30      F                 157
286 STO ANT JARI   1    01      F                 156
284 FERREIRA GOM   1    29      F                   1
227 SINOP          1    29      F                 440
227 SINOP          1    30      F                 462
227 SINOP          1    01      F                 478
228 COLIDER        1    29      F                  41
228 COLIDER        1    30      F                  43
228 COLIDER        1    01      F                  44
229 TELES PIRES    1    29      F                 374
229 TELES PIRES    1    30      F                 391
229 TELES PIRES    1    01      F                 390
192 GUILMAN-AMOR   1    29      F                  39
192 GUILMAN-AMOR   1    30      F                  59
192 GUILMAN-AMOR   1    01      F                  66
230 SAO MANOEL     1    29      F                   3
230 SAO MANOEL     1    30      F                   4
288 BELO MONTE     1    29      F                   0
314 PIMENTAL       1    29      F                 888
314 PIMENTAL       1    30      F                 895
314 PIMENTAL       1    01      F                 908
FIM
