***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________

-------------------------------------------------------
Custos marginais dos contratos de importacao de energia                         
-------------------------------------------------------
---------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
CONTR:     Numero do contrato de imp/exp de energia                                                                                                                                                     
NomeContr: Nome do contrato de imp/exp de energia                                                                                                                                                       
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
NomeSist:  Nome do subsistema                                                                                                                                                                           
Econtr:    Energia contratada                                                                                                                                                                           
CustContr: Custo (Preco) da energia imp/exp                                                                                                                                                             
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
---------------------------------------------------

-----;-----;-----------;--------;--------;---------;---------;----------;------------;
IPER ;CONTR; NomeContr ;NumBarra;NomeSist; Econtr  ;CustContr;   CMO    ;    CMB     ;
  -  ;  -  ;     -     ;   -    ;   -    ;  (MW)   ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;-----------;--------;--------;---------;---------;----------;------------;
   3 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   105.99;     0.00;     0.00 ;       0.00 ;
   3 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   3 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   378.34;     0.00;     0.00 ;       0.00 ;
   4 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   481.55;     0.00;     0.00 ;       0.00 ;
   4 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   481.55;     0.00;     0.00 ;       0.00 ;
   4 ; 151 ; E4POL3-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 152 ; E4POL4-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;    11.00;     0.00;     0.00 ;       0.00 ;
   4 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   240.67;     0.00 ;       0.00 ;
   4 ; 171 ; NFUTNF-I  ;  3962  ; SE     ;     0.00;   106.02;     0.00 ;       0.00 ;
   4 ; 172 ; NFUNF2-I  ;  3962  ; SE     ;     0.00;   123.04;     0.00 ;       0.00 ;
   4 ; 173 ; NFUNF3-I  ;  3963  ; SE     ;     0.00;   236.63;     0.00 ;       0.00 ;
   4 ; 174 ; NFUNF4-I  ;  3962  ; SE     ;     0.00;   749.93;     0.00 ;       0.00 ;
   4 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   150.00;     0.00;     0.00 ;       0.00 ;
   4 ; 302 ; FUTDCE-E-F;  3112  ; SE     ;   200.00;     0.00;     0.00 ;       0.00 ;
   4 ; 511 ; FUPL1I-I-F;    86  ; SE     ;  3150.00;     0.00;     0.00 ;       0.00 ;
   4 ; 512 ; FUPL3I-I-F;    86  ; SE     ;  1329.13;     0.00;     0.00 ;       0.00 ;
   4 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   106.10;     0.00;     0.00 ;       0.00 ;
   4 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   106.10;     0.00;     0.00 ;       0.00 ;
   4 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   106.07;     0.00;     0.00 ;       0.00 ;
   4 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   106.07;     0.00;     0.00 ;       0.00 ;
   4 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   4 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   372.70;     0.00;     0.00 ;       0.00 ;
   5 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   437.12;     0.00;     0.00 ;       0.00 ;
   5 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   437.12;     0.00;     0.00 ;       0.00 ;
   5 ; 151 ; E4POL3-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 152 ; E4POL4-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;    11.00;     0.00;     0.00 ;       0.00 ;
   5 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   240.67;     0.00 ;       0.00 ;
   5 ; 171 ; NFUTNF-I  ;  3962  ; SE     ;     0.00;   106.02;     0.00 ;       0.00 ;
   5 ; 172 ; NFUNF2-I  ;  3962  ; SE     ;     0.00;   123.04;     0.00 ;       0.00 ;
   5 ; 173 ; NFUNF3-I  ;  3963  ; SE     ;     0.00;   236.63;     0.00 ;       0.00 ;
   5 ; 174 ; NFUNF4-I  ;  3962  ; SE     ;     0.00;   749.93;     0.00 ;       0.00 ;
   5 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   150.00;     0.00;     0.00 ;       0.00 ;
   5 ; 302 ; FUTDCE-E-F;  3112  ; SE     ;   200.00;     0.00;     0.00 ;       0.00 ;
   5 ; 511 ; FUPL1I-I-F;    86  ; SE     ;  1329.07;     0.00;     0.00 ;       0.00 ;
   5 ; 512 ; FUPL3I-I-F;    86  ; SE     ;  3150.00;     0.00;     0.00 ;       0.00 ;
   5 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   106.44;     0.00;     0.00 ;       0.00 ;
   5 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   106.44;     0.00;     0.00 ;       0.00 ;
   5 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   106.65;     0.00;     0.00 ;       0.00 ;
   5 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   106.65;     0.00;     0.00 ;       0.00 ;
   5 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   5 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   357.64;     0.00;     0.00 ;       0.00 ;
   6 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   447.31;     0.00;     0.00 ;       0.00 ;
   6 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   447.31;     0.00;     0.00 ;       0.00 ;
