***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________

-------------------------------------------------------
Custos marginais dos contratos de importacao de energia                         
-------------------------------------------------------
---------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
CONTR:     Numero do contrato de imp/exp de energia                                                                                                                                                     
NomeContr: Nome do contrato de imp/exp de energia                                                                                                                                                       
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
NomeSist:  Nome do subsistema                                                                                                                                                                           
Econtr:    Energia contratada                                                                                                                                                                           
CustContr: Custo (Preco) da energia imp/exp                                                                                                                                                             
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
---------------------------------------------------

-----;-----;-----------;--------;--------;---------;---------;----------;------------;
IPER ;CONTR; NomeContr ;NumBarra;NomeSist; Econtr  ;CustContr;   CMO    ;    CMB     ;
  -  ;  -  ;     -     ;   -    ;   -    ;  (MW)   ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;-----------;--------;--------;---------;---------;----------;------------;
   6 ; 151 ; E4POL3-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 152 ; E4POL4-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;    11.00;     0.00;     0.00 ;       0.00 ;
   6 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   240.67;     0.00 ;       0.00 ;
   6 ; 171 ; NFUTNF-I  ;  3962  ; SE     ;     0.00;   106.02;     0.00 ;       0.00 ;
   6 ; 172 ; NFUNF2-I  ;  3962  ; SE     ;     0.00;   123.04;     0.00 ;       0.00 ;
   6 ; 173 ; NFUNF3-I  ;  3963  ; SE     ;     0.00;   236.63;     0.00 ;       0.00 ;
   6 ; 174 ; NFUNF4-I  ;  3962  ; SE     ;     0.00;   749.93;     0.00 ;       0.00 ;
   6 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   150.00;     0.00;     0.00 ;       0.00 ;
   6 ; 302 ; FUTDCE-E-F;  3112  ; SE     ;   200.00;     0.00;     0.00 ;       0.00 ;
   6 ; 511 ; FUPL1I-I-F;    86  ; SE     ;  1328.08;     0.00;     0.00 ;       0.00 ;
   6 ; 512 ; FUPL3I-I-F;    86  ; SE     ;  3150.00;     0.00;     0.00 ;       0.00 ;
   6 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   106.94;     0.00;     0.00 ;       0.00 ;
   6 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   106.94;     0.00;     0.00 ;       0.00 ;
   6 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   107.25;     0.00;     0.00 ;       0.00 ;
   6 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   107.25;     0.00;     0.00 ;       0.00 ;
   6 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   6 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   275.58;     0.00;     0.00 ;       0.00 ;
   7 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   414.07;     0.00;     0.00 ;       0.00 ;
   7 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   414.07;     0.00;     0.00 ;       0.00 ;
   7 ; 151 ; E4POL3-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ; 152 ; E4POL4-I-F;  7057  ; SE     ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;    11.00;     0.00;     0.00 ;       0.00 ;
   7 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   240.67;     0.00 ;       0.00 ;
   7 ; 171 ; NFUTNF-I  ;  3962  ; SE     ;     0.00;   106.02;     0.00 ;       0.00 ;
   7 ; 172 ; NFUNF2-I  ;  3962  ; SE     ;     0.00;   123.04;     0.00 ;       0.00 ;
   7 ; 173 ; NFUNF3-I  ;  3963  ; SE     ;     0.00;   236.63;     0.00 ;       0.00 ;
   7 ; 174 ; NFUNF4-I  ;  3962  ; SE     ;     0.00;   749.93;     0.00 ;       0.00 ;
   7 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   150.00;     0.00;     0.00 ;       0.00 ;
   7 ; 302 ; FUTDCE-E-F;  3112  ; SE     ;   200.00;     0.00;     0.00 ;       0.00 ;
   7 ; 511 ; FUPL1I-I-F;    86  ; SE     ;  1327.02;     0.00;     0.00 ;       0.00 ;
   7 ; 512 ; FUPL3I-I-F;    86  ; SE     ;  3150.00;     0.00;     0.00 ;       0.00 ;
   7 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;   110.17;     0.00;     0.00 ;       0.00 ;
   7 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;   110.17;     0.00;     0.00 ;       0.00 ;
   7 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
   7 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   111.45;     0.00;     0.00 ;       0.00 ;
   7 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   111.45;     0.00;     0.00 ;       0.00 ;
   7 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;     0.00 ;       0.00 ;
