&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT    66    1  S    28 18 0  F               11979
DEFANT    66    1  S    28 18 1  F               12114
DEFANT    66    1  S    28 19 0  F               11921
DEFANT    66    1  S    28 19 1  F               12052
DEFANT    66    1  S    28 20 0  F               12313
DEFANT    66    1  S    28 20 1  F               12320
DEFANT    66    1  S    28 21 0  F               12232
DEFANT    66    1  S    28 21 1  F               11462
DEFANT    66    1  S    28 22 0  F               11660
DEFANT    66    1  S    28 22 1  F               11553
DEFANT    66    1  S    28 23 0  F               11072
DEFANT    66    1  S    28 23 1  F               10891
DEFANT    83    1  S    28  0 0  F                2323
DEFANT    83    1  S    28  0 1  F                2323
DEFANT    83    1  S    28  1 0  F                2323
DEFANT    83    1  S    28  1 1  F                2323
DEFANT    83    1  S    28  2 0  F                2323
DEFANT    83    1  S    28  2 1  F                2323
DEFANT    83    1  S    28  3 0  F                2323
DEFANT    83    1  S    28  3 1  F                2323
DEFANT    83    1  S    28  4 0  F                2323
DEFANT    83    1  S    28  4 1  F                2323
DEFANT    83    1  S    28  5 0  F                2323
DEFANT    83    1  S    28  5 1  F                2323
DEFANT    83    1  S    28  6 0  F                2323
DEFANT    83    1  S    28  6 1  F                2323
DEFANT    83    1  S    28  7 0  F                2323
DEFANT    83    1  S    28  7 1  F                2323
DEFANT    83    1  S    28  8 0  F                2323
DEFANT    83    1  S    28  8 1  F                2323
DEFANT    83    1  S    28  9 0  F                2323
DEFANT    83    1  S    28  9 1  F                2323
DEFANT    83    1  S    28 10 0  F                2324
DEFANT    83    1  S    28 10 1  F                2324
DEFANT    83    1  S    28 11 0  F                2324
DEFANT    83    1  S    28 11 1  F                2324
DEFANT    83    1  S    28 12 0  F                2324
DEFANT    83    1  S    28 12 1  F                2324
DEFANT    83    1  S    28 13 0  F                2324
DEFANT    83    1  S    28 13 1  F                2324
DEFANT    83    1  S    28 14 0  F                2324
DEFANT    83    1  S    28 14 1  F                2324
DEFANT    83    1  S    28 15 0  F                2324
DEFANT    83    1  S    28 15 1  F                2324
DEFANT    83    1  S    28 16 0  F                2324
DEFANT    83    1  S    28 16 1  F                2324
DEFANT    83    1  S    28 17 0  F                2324
DEFANT    83    1  S    28 17 1  F                2324
DEFANT    83    1  S    28 18 0  F                2324
DEFANT    83    1  S    28 18 1  F                2324
DEFANT    83    1  S    28 19 0  F                2324
DEFANT    83    1  S    28 19 1  F                2324
DEFANT    83    1  S    28 20 0  F                2324
DEFANT    83    1  S    28 20 1  F                2324
DEFANT    83    1  S    28 21 0  F                2324
DEFANT    83    1  S    28 21 1  F                2324
DEFANT    83    1  S    28 22 0  F                2324
DEFANT    83    1  S    28 22 1  F                2324
DEFANT    83    1  S    28 23 0  F                2324
DEFANT    83    1  S    28 23 1  F                2324
